Symptom,Specialist
weight loss,Rheumatologist
constipation,Endocrinologist
ear pain,Dentist
low blood pressure,Allergist
dizziness,Endocrinologist
tingling sensation,Urologist
memory loss,General Physician
fever,Oncologist
fatigue,Cardiologist
weight gain,Dermatologist
nausea,Pediatrician
weight gain,Gastroenterologist
shortness of breath,Dentist
anxiety,Ophthalmologist
frequent headaches,Cardiologist
burning sensation,General Physician
tingling sensation,Rheumatologist
loss of appetite,Allergist
hearing loss,Cardiologist
hair loss,Neurologist
low blood pressure,Neurologist
diarrhea,Pulmonologist
irregular heartbeat,Allergist
depression,Otolaryngologist (ENT)
difficulty swallowing,Cardiologist
urinary pain,Gastroenterologist
cold sweats,Rheumatologist
breathlessness,Ophthalmologist
memory loss,Nephrologist
difficulty swallowing,Neurologist
breathlessness,Cardiologist
ear pain,Urologist
loss of balance,Orthopedic Surgeon
shortness of breath,Gynecologist
shortness of breath,Dermatologist
joint pain,Pulmonologist
weight gain,Neurologist
palpitations,Neurologist
shortness of breath,Otolaryngologist (ENT)
blurry vision,Pulmonologist
loss of appetite,Psychiatrist
constipation,Endocrinologist
allergies,Gynecologist
neck stiffness,Allergist
acid reflux,General Physician
frequent headaches,Allergist
diarrhea,Gynecologist
difficulty swallowing,Ophthalmologist
chest pain,Orthopedic Surgeon
muscle weakness,General Physician
muscle pain,Rheumatologist
blurry vision,Otolaryngologist (ENT)
hair loss,General Physician
burning sensation,General Physician
irregular heartbeat,Dentist
headache,Nephrologist
abdominal pain,Nephrologist
ear pain,Neurologist
weight gain,Rheumatologist
insomnia,Gynecologist
palpitations,Allergist
night sweats,Dermatologist
high blood pressure,Dentist
allergies,Orthopedic Surgeon
diarrhea,Pediatrician
swollen lymph nodes,Pulmonologist
abdominal pain,Hematologist
high blood pressure,Urologist
tingling sensation,General Physician
loss of balance,Gastroenterologist
loss of balance,Orthopedic Surgeon
loss of balance,Pediatrician
night sweats,Orthopedic Surgeon
cold sweats,Hematologist
cough,Endocrinologist
skin discoloration,Hematologist
hearing loss,Allergist
frequent headaches,Ophthalmologist
chills,Neurologist
weight gain,Neurologist
fever,Pulmonologist
skin rash,Otolaryngologist (ENT)
chest pain,Pulmonologist
weight loss,Urologist
sneezing,Neurologist
muscle pain,Pulmonologist
tingling sensation,Otolaryngologist (ENT)
abdominal pain,Psychiatrist
nausea,General Physician
swollen lymph nodes,Gynecologist
allergies,Hematologist
memory loss,Dentist
skin discoloration,Urologist
high blood pressure,Oncologist
neck stiffness,Ophthalmologist
high blood pressure,Pediatrician
cold sweats,Orthopedic Surgeon
urinary pain,Oncologist
chronic cough,Ophthalmologist
cough,Pediatrician
sneezing,Dentist
neck stiffness,Nephrologist
hair loss,Gastroenterologist
loss of balance,Dentist
muscle weakness,Psychiatrist
urinary pain,Ophthalmologist
difficulty swallowing,Psychiatrist
difficulty swallowing,Rheumatologist
allergies,Otolaryngologist (ENT)
weight gain,Urologist
ear pain,Allergist
muscle weakness,Pulmonologist
urinary pain,Allergist
abdominal pain,Gynecologist
allergies,Ophthalmologist
insomnia,Rheumatologist
hair loss,Allergist
breathlessness,Gastroenterologist
sore throat,Cardiologist
chronic cough,Neurologist
skin discoloration,Dentist
depression,Psychiatrist
muscle pain,Cardiologist
irregular heartbeat,Ophthalmologist
headache,Allergist
memory loss,Neurologist
sneezing,Oncologist
weight gain,Otolaryngologist (ENT)
headache,Nephrologist
skin discoloration,Neurologist
cough,Orthopedic Surgeon
irregular heartbeat,Oncologist
muscle weakness,Otolaryngologist (ENT)
skin discoloration,Endocrinologist
depression,Gastroenterologist
skin rash,Dentist
frequent headaches,Neurologist
fever,Rheumatologist
neck stiffness,Cardiologist
anxiety,Orthopedic Surgeon
allergies,Endocrinologist
hearing loss,Urologist
swollen lymph nodes,Pulmonologist
abdominal pain,Otolaryngologist (ENT)
skin rash,Pediatrician
anxiety,Orthopedic Surgeon
dizziness,Rheumatologist
breathlessness,Orthopedic Surgeon
dizziness,Rheumatologist
fatigue,Gastroenterologist
nausea,Psychiatrist
insomnia,Pulmonologist
back pain,Gynecologist
skin rash,Ophthalmologist
depression,Gastroenterologist
burning sensation,Pulmonologist
frequent urination,Urologist
cold sweats,Otolaryngologist (ENT)
hair loss,Gastroenterologist
allergies,Dentist
blurry vision,Endocrinologist
headache,Gastroenterologist
loss of balance,Psychiatrist
chest pain,Allergist
dry mouth,Pulmonologist
insomnia,Orthopedic Surgeon
back pain,Orthopedic Surgeon
back pain,Oncologist
fatigue,Gynecologist
sneezing,Pulmonologist
urinary pain,Ophthalmologist
vomiting,Cardiologist
abdominal pain,Oncologist
swollen lymph nodes,Ophthalmologist
night sweats,Oncologist
frequent urination,Allergist
acid reflux,Psychiatrist
irregular heartbeat,Ophthalmologist
chronic cough,Hematologist
eye redness,Nephrologist
tingling sensation,Urologist
allergies,Gastroenterologist
frequent headaches,Neurologist
chills,General Physician
diarrhea,Ophthalmologist
difficulty swallowing,Cardiologist
shortness of breath,General Physician
headache,Cardiologist
sneezing,Dermatologist
dry mouth,Nephrologist
memory loss,Gastroenterologist
irregular heartbeat,Psychiatrist
night sweats,Cardiologist
ear pain,Ophthalmologist
loss of appetite,Orthopedic Surgeon
fatigue,Pulmonologist
diarrhea,Urologist
urinary pain,Hematologist
palpitations,Pediatrician
shortness of breath,Urologist
night sweats,Psychiatrist
hearing loss,Orthopedic Surgeon
burning sensation,General Physician
weight loss,General Physician
neck stiffness,Gynecologist
